0.00000	5.00000	0.00000	0.00000
0.14229	4.96057	0.62667	0.00000
0.28457	4.84292	1.24345	0.00000
0.42686	4.64888	1.84062	0.00000
0.56914	4.38153	2.40877	0.00000
0.71143	4.04508	2.93893	0.00000
0.85372	3.64484	3.42274	0.00000
0.99600	3.18712	3.85257	0.00000
1.13829	2.67913	4.22164	0.00000
1.28058	2.12890	4.52414	0.00000
1.42286	1.54508	4.75528	0.00000
1.56515	0.93691	4.91144	0.00000
1.70743	0.31395	4.99013	0.00000
1.84972	-0.31395	4.99013	0.00000
1.99201	-0.93691	4.91144	0.00000
2.13429	-1.54508	4.75528	0.00000
2.27658	-2.12890	4.52414	0.00000
2.41886	-2.67913	4.22164	0.00000
2.56115	-3.18712	3.85257	0.00000
2.70344	-3.64484	3.42274	0.00000
2.84572	-4.04508	2.93893	0.00000
2.98801	-4.38153	2.40877	0.00000
3.13029	-4.64888	1.84062	0.00000
3.27258	-4.84292	1.24345	0.00000
3.41487	-4.96057	0.62667	0.00000
3.55715	-5.00000	0.00000	0.00000
3.69944	-4.96057	-0.62667	0.00000
3.84173	-4.84292	-1.24345	0.00000
3.98401	-4.64888	-1.84062	0.00000
4.12630	-4.38153	-2.40877	0.00000
4.26858	-4.04508	-2.93893	0.00000
4.41087	-3.64484	-3.42274	0.00000
4.55316	-3.18712	-3.85257	0.00000
4.69544	-2.67913	-4.22164	0.00000
4.83773	-2.12890	-4.52414	0.00000
4.98001	-1.54508	-4.75528	0.00000
5.12230	-0.93691	-4.91144	0.00000
5.26459	-0.31395	-4.99013	0.00000
5.40687	0.31395	-4.99013	0.00000
5.54916	0.93691	-4.91144	0.00000
5.69145	1.54508	-4.75528	0.00000
5.83373	2.12890	-4.52414	0.00000
5.97602	2.67913	-4.22164	0.00000
6.11830	3.18712	-3.85257	0.00000
6.26059	3.64484	-3.42274	0.00000
6.40288	4.04508	-2.93893	0.00000
6.54516	4.38153	-2.40877	0.00000
6.68745	4.64888	-1.84062	0.00000
6.82973	4.84292	-1.24345	0.00000
6.97202	4.96057	-0.62667	0.00000
7.11431	5.00000	0.00000	0.00000
